"time","pointMass.r_0[1]","pointMass.r_0[2]","pointMass.r_0[3]"
6.45,0.2755786040803378,0.2304662467125957,0.5782529919503904
6.452,0.2756063237793197,0.2304457582005381,0.5782479463175505
6.454,0.2756343006032613,0.230425291621259,0.5782427672807033
6.456,0.2756625342412348,0.2304048471623051,0.57823745487477
6.458,0.2756910243661848,0.2303844249860675,0.5782320091520351
6.46,0.275719770634856,0.2303640252296404,0.57822643018224
6.462,0.2757487726877191,0.2303436480046806,0.5782207180526736
6.464,0.2757780302515997,0.2303232935734549,0.5782148727491023
6.466,0.2758075437967173,0.2303029634760002,0.578208893393409
6.468,0.2758373121841146,0.2302826564941838,0.5782027809733031
6.47,0.2758673350141209,0.2302623726805648,0.5781965356173975
6.472,0.2758976118719309,0.2302421120641418,0.5781901574705722
6.474,0.275928142327572,0.2302218746502787,0.5781836466940268
6.476,0.275958925935868,0.2302016604206284,0.5781770034653269
6.478,0.2759899622364052,0.2301814693330585,0.5781702279784552
6.48,0.276021250753498,0.2301613013215757,0.5781633204438607
6.482,0.2760527909961545,0.2301411562962511,0.5781562810885087
6.484,0.2760845824580422,0.2301210341431451,0.5781491101559308
6.486,0.2761166246174535,0.2301009347242325,0.5781418079062746
6.488,0.2761489169372712,0.2300808578773274,0.5781343746163534
6.49,0.2761814588649354,0.2300608034160085,0.5781268105796975
6.492,0.2762142498324086,0.2300407711295446,0.5781191161066042
6.494,0.276247289256141,0.2300207607828189,0.5781112915241871
6.496,0.2762805765370386,0.2300007721162557,0.5781033371764293
6.498,0.2763141110604271,0.2299808048457445,0.5780952534242315
6.5,0.276347892196019,0.2299608586625657,0.5780870406454636
6.502,0.2763819196803674,0.2299409338965871,0.57807869878832
6.504,0.2764161932618575,0.2299210309006367,0.5780702277859053
6.506,0.2764507117224008,0.2299011483540012,0.5780616286988149
6.508,0.2764854743960682,0.2298812858958653,0.5780529019415797
6.51,0.276520480602725,0.2298614431431657,0.5780440479441129
6.512,0.2765557296480359,0.2298416196905849,0.5780350671517152
6.514,0.2765912208234709,0.2298218151105448,0.5780259600250781
6.516,0.2766269534063119,0.2298020289532019,0.5780167270402913
6.518,0.2766629266596581,0.2297822607464407,0.5780073686888467
6.52,0.2766991398324327,0.2297625099958683,0.5779978854776435
6.522,0.276735592159389,0.2297427761848092,0.5779882779289959
6.524,0.2767722828611155,0.2297230587742987,0.577978546580635
6.526,0.2768092111440447,0.2297033572030787,0.5779686919857191
6.528,0.2768463762004567,0.2296836708875905,0.5779587147128359
6.53,0.2768837772084863,0.2296639992219701,0.5779486153460086
6.532,0.2769214133321315,0.2296443415780434,0.5779383944847051
6.534,0.2769592837212561,0.2296246973053191,0.5779280527438393
6.536,0.2769973875115997,0.2296050657309851,0.5779175907537817
6.538,0.2770357238247823,0.2295854461599012,0.5779070091603619
6.54,0.2770742924309271,0.2295658390374256,0.5778963078452576
6.542,0.2771130923166209,0.2295462434363178,0.5778854876108512
6.544,0.277152122259726,0.2295266580654374,0.5778745495040237
6.546,0.2771913813525391,0.2295070821878279,0.5778634942006093
6.548,0.2772308686748286,0.2294875150469149,0.577852322390097
6.55,0.2772705832938811,0.2294679558665693,0.5778410347755911
6.552,0.2773105242645459,0.2294484038511698,0.5778296320737711
6.554,0.2773506906292812,0.2294288581856659,0.5778181150148539
6.556,0.2773910814181992,0.229409318035641,0.5778064843425531
6.558,0.2774316956491119,0.229389782547375,0.5777947408140397
6.56,0.2774725323275773,0.229370250847908,0.5777828851999045
6.562,0.2775135904469438,0.2293507220451027,0.5777709182841176
6.564,0.277554868988397,0.2293311952277074,0.5777588408639904
6.566,0.2775963669210044,0.2293116694654194,0.5777466537501346
6.568,0.2776380832017626,0.2292921438089479,0.5777343577664261
6.57,0.2776800167756411,0.2292726172900765,0.5777219537499632
6.572,0.2777221665756295,0.2292530889217278,0.5777094425510299
6.574,0.2777645315227827,0.2292335576980243,0.5776968250330552
6.576,0.2778071105262666,0.2292140225943536,0.5776841020725759
6.578,0.277849903378117,0.2291944841601525,0.5776712734969338
6.58,0.2778929083639533,0.2291749402656348,0.5776583409209142
6.582,0.2779361243049582,0.2291553897367508,0.5776453053225425
6.584,0.2779795500886744,0.2291358315199357,0.5776321676001108
6.586,0.2780231845924367,0.2291162645457923,0.5776189286630928
6.588,0.2780670266834548,0.2290966877292179,0.5776055894320629
6.59,0.2781110752188947,0.229077099969532,0.5775921508386139
