Part number;Mat;Fdn;d (mm);D (mm);Dd (mm);De (mm);Detol (mm);Dh (mm);Fn (N);Fntol (N);Lk (mm);L0 (mm);L0tol (mm);Ln (mm);sn (mm);S (mm);n (pc.);R (N/mm);Fndyn (N);Fndtol (N);Lndyn (mm);shdyn (mm);Gew (g);PG
D-474;EN 10270-1;Closed and ground;11;114;;125;1.9;;2784.406;132; ;375;7.69;139.91;235.09;42.824;8.5;11.844;;;;;2824.8782;BF
D-476;EN 10270-1;Closed and ground;11;114;;125;1.9;;2855.944;128; ;550;10.65;195.4;354.6;43.12;12.5;8.054;;;;;3901.0222;BF
D-478;EN 10270-1;Closed and ground;11;114;;125;1.9;;2837.224;124;586;800;15.07;278.64;521.36;42.649;18.5;5.442;;;;;5515.2383;BG
D-480;EN 10270-1;Closed and ground;11;89;;100;1.5;;4042.3;207; ;135;2.43;68.13;66.87;35.429;3.5;60.451;;;;;1155.2029;BE
D-482;EN 10270-1;Closed and ground;11;89;;100;1.5;;4039.196;189; ;200;3.36;95;105;34.364;5.5;38.469;;;;;1575.2767;BE
D-484;EN 10270-1;Closed and ground;11;89;;100;1.5;;3882.284;185; ;290;4.73;134.03;155.97;32.824;8.5;24.891;;;;;2205.3873;BE
D-486;EN 10270-1;Closed and ground;11;89;;100;1.5;;3947.997;169; ;420;6.54;186.75;233.25;32.72;12.5;16.926;;;;;3045.5349;BF
D-488;EN 10270-1;Closed and ground;11;89;;100;1.5;;4050.469;166;451;620;9.26;265.83;354.17;32.919;18.5;11.437;;;;;4305.7562;BF
D-490;EN 10270-1;Closed and ground;11;64;;75;1;;5477.685;345; ;100;1.62;66.3;33.7;25.429;3.5;162.566;;;;;830.7077;BE
D-492;EN 10270-1;Closed and ground;11;64;;75;1;;5004.765;306; ;140;2.23;91.62;48.38;23.455;5.5;103.451;;;;;1132.7832;BE
D-494;EN 10270-1;Closed and ground;11;64;;75;1;;5382.057;291; ;210;3.13;129.6;80.4;23.412;8.5;66.939;;;;;1585.8965;BE
D-496;EN 10270-1;Closed and ground;11;64;;75;1;;5451.674;279; ;300;4.35;180.23;119.77;23.12;12.5;45.519;;;;;2190.0476;BE
D-498;EN 10270-1;Closed and ground;11;64;;75;1;;5628.307;274;317;440;6.16;257;183;23.189;18.5;30.756;;;;;3096.2741;BF
D-500;EN 10270-1;Closed and ground;11;49;;60;0.6;;7064.921;570; ;85;1.28;65.5;19.5;21.143;3.5;362.228;;;;;636.0106;BE
D-502;EN 10270-1;Closed and ground;11;49;;60;0.6;;6834.412;510; ;120;1.77;90.35;29.65;19.818;5.5;230.509;;;;;867.2872;BE
D-504;EN 10270-1;Closed and ground;11;49;;60;0.6;;7010.178;477; ;175;2.49;128;47;19.294;8.5;149.153;;;;;1214.202;BE
D-506;EN 10270-1;Closed and ground;11;49;;60;0.6;;7302.517;460; ;250;3.45;178;72;19.12;12.5;101.424;;;;;1676.7552;BE
D-508;EN 10270-1;Closed and ground;11;49;;60;0.6;;7401.2;466;275;360;4.89;252;108;18.865;18.5;68.53;;;;;2370.5849;BF
D-510;EN 10270-1;Closed and ground;12;153;;165;2.3;;2520.354;157; ;230;7.12;80.44;149.56;62.286;3.5;16.852;;;;;2363.3977;BF
D-512;EN 10270-1;Closed and ground;12;153;;165;2.3;;2544.866;143; ;350;9.82;112.69;237.31;61.455;5.5;10.724;;;;;3222.8151;BF
D-514;EN 10270-1;Closed and ground;12;153;;165;2.3;;2698.786;136; ;550;13.83;161.07;388.93;63.294;8.5;6.939;;;;;4511.9411;BG
D-516;EN 10270-1;Closed and ground;12;153;;165;2.3;;2713.165;131;245;800;19.15;225;575;63.04;12.5;4.719;;;;;6230.7758;BG
D-517;EN 10270-1;Closed and ground;12;153;;165;2.3;;2670.655;126;904;1160;27.11;322.33;837.67;62.054;18.5;3.188;;;;;8809.0278;BG
D-518;EN 10270-1;Closed and ground;12;123;;135;1.9;;3346.642;183; ;180;4.1;76.82;103.18;48;3.5;32.435;;;;;1899.9864;BF
D-520;EN 10270-1;Closed and ground;12;123;;135;1.9;;3570.736;170; ;280;5.66;107;173;48.727;5.5;20.64;;;;;2590.8905;BF
D-522;EN 10270-1;Closed and ground;12;123;;135;1.9;;3575.592;160; ;420;7.97;152.27;267.73;48;8.5;13.355;;;;;3627.2468;BF
D-524;EN 10270-1;Closed and ground;12;123;;135;1.9;;3699.531;155; ;620;11.03;212.64;407.36;48.64;12.5;9.082;;;;;5009.0551;BG
D-526;EN 10270-1;Closed and ground;12;123;;135;1.9;;3662.222;150;684;900;15.62;303.19;596.81;48;18.5;6.136;;;;;7081.7675;BG
D-528;EN 10270-1;Closed and ground;12;98;;110;1.5;;4527.31;236; ;145;2.62;74.4;70.6;38;3.5;64.128;;;;;1513.8103;BF
D-530;EN 10270-1;Closed and ground;12;98;;110;1.5;;4562.289;216; ;215;3.62;103.2;111.8;36.909;5.5;40.809;;;;;2064.2868;BF
D-532;EN 10270-1;Closed and ground;12;98;;110;1.5;;4055.782;195; ;300;5.1;146.4;153.6;33.882;8.5;26.406;;;;;2890.0015;BF
D-534;EN 10270-1;Closed and ground;12;98;;110;1.5;;4596.568;195; ;460;7.06;204.01;255.99;35.84;12.5;17.956;;;;;3990.9544;BG
D-536;EN 10270-1;Closed and ground;12;98;;110;1.5;;4605.304;190;480;670;9.99;290.41;379.59;35.568;18.5;12.132;;;;;5642.3839;BG
D-538;EN 10270-1;Closed and ground;12;68;;80;1;;6291.686;416; ;105;1.68;72.22;32.78;26.571;3.5;191.954;;;;;1050.399;BE
D-540;EN 10270-1;Closed and ground;12;68;;80;1;;6134.632;374; ;150;2.32;99.78;50.22;25.091;5.5;122.153;;;;;1432.3623;BE
D-542;EN 10270-1;Closed and ground;12;68;;80;1;;6235.229;351; ;220;3.26;141.11;78.89;24.471;8.5;79.04;;;;;2005.3072;BF
D-544;EN 10270-1;Closed and ground;12;68;;80;1;;6652.56;342; ;320;4.51;196.23;123.78;24.64;12.5;53.747;;;;;2769.2337;BF
D-546;EN 10270-1;Closed and ground;12;68;;80;1;;6577.023;330;326;460;6.39;278.89;181.11;24.216;18.5;36.316;;;;;3915.1235;BF
D-548;EN 10270-1;Closed and ground;12;63;;75;0.8;;6774.008;479; ;100;1.57;71.94;28.06;25.143;3.5;241.381;;;;;973.1638;BE
D-550;EN 10270-1;Closed and ground;12;63;;75;0.8;;6247.359;425; ;140;2.16;99.33;40.67;23.273;5.5;153.606;;;;;1327.0415;BE
D-552;EN 10270-1;Closed and ground;12;63;;75;0.8;;5922.076;391; ;200;3.04;140.42;59.58;22.118;8.5;99.392;;;;;1857.8581;BE
D-554;EN 10270-1;Closed and ground;12;63;;75;0.8;;6745.042;385; ;295;4.21;195.2;99.8;22.64;12.5;67.587;;;;;2565.6136;BF
D-556;EN 10270-1;Closed and ground;12;63;;75;0.8;;6741.389;373;300;425;5.97;277.38;147.62;22.324;18.5;45.667;;;;;3627.2468;BF
VD-001;EN 10270-3-1.4310;Closed;0.2;2.9;2.3;3.1;0.25;3.4;0.395;0.1; ;7.5;1.12;2.68;4.82;1;7;0.082;0.371;0.1;2.97;4.53;0.0204;D
VD-002;EN 10270-3-1.4310;Closed;0.2;2.5;2;2.7;0.15;3.1;0.964;0.13; ;5.4;0.45;1.63;3.77;1.4;3.5;0.256;0.934;0.13;1.75;1.38;0.0107;D
VD-003;EN 10270-3-1.4310;Closed;0.2;2.5;2;2.7;0.15;3.1;0.983;0.12; ;8.2;0.62;2.17;6.03;1.4;5.5;0.163;0.953;0.12;2.35;2.11;0.0146;D
VD-004;EN 10270-3-1.4310;Closed;0.2;2.5;2;2.7;0.15;3.1;1.026;0.11; ;12.7;0.87;2.97;9.73;1.435;8.5;0.105;0.996;0.11;3.25;3.08;0.0205;D
VD-005;EN 10270-3-1.4310;Closed;0.2;2.5;2;2.7;0.15;3.1;1.058;0.1;14.43;18.8;1.2;4.04;14.76;1.464;12.5;0.072;1.029;0.1;4.45;4.25;0.0283;D
VD-006;EN 10270-3-1.4310;Closed;0.2;2.5;2;2.7;0.15;3.1;0.952;0.1;22.87;25.3;1.7;5.64;19.66;1.341;18.5;0.048;0.922;0.1;6.26;7.51;0.04;D
VD-006A;EN 10270-3-1.4310;Closed;0.2;2.3;2;2.5;0.15;2.9;0.938;0.13; ;5;0.39;1.74;3.26;1.125;4;0.288;0.903;0.13;1.86;1.5;0.0108;D
VD-006B;EN 10270-3-1.4310;Closed;0.2;2.3;2;2.5;0.15;2.9;0.993;0.11; ;8;0.56;2.39;5.61;1.154;6.5;0.177;0.959;0.11;2.58;2.28;0.0153;D
VD-006C;EN 10270-3-1.4310;Closed;0.2;2.3;2;2.5;0.15;2.9;0.96;0.11; ;10;0.7;2.91;7.09;1.118;8.5;0.135;0.926;0.11;3.16;3.12;0.0188;D
VD-006D;EN 10270-3-1.4310;Closed;0.2;2.3;2;2.5;0.15;2.9;1.018;0.1;10;15;0.97;3.95;11.05;1.16;12.5;0.092;0.983;0.1;4.32;4.27;0.026;D
VD-006E;EN 10270-3-1.4310;Closed;0.2;2.3;2;2.5;0.15;2.9;1.047;0.1;16.69;20;1.23;4.98;15.02;1.182;16.5;0.07;1.013;0.1;5.48;5.39;0.0332;D
VD-007;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.113;0.15; ;3.8;0.26;1.58;2.23;0.943;3.5;0.5;1.07;0.15;1.66;0.93;0.0086;D
VD-007A;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;0.613;0.12; ;4;0.35;2.08;1.93;0.636;5.5;0.318;0.57;0.12;2.21;1.79;0.0117;D
VD-008;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.09;0.13; ;5.5;0.35;2.08;3.43;0.909;5.5;0.318;1.047;0.13;2.21;1.5;0.0117;D
VD-008A;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.217;0.13; ;5.9;0.35;2.08;3.83;0.982;5.5;0.318;1.174;0.13;2.21;1.3;0.0117;D
VD-009;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.148;0.12; ;8.4;0.5;2.83;5.58;0.929;8.5;0.206;1.104;0.12;3.04;2.17;0.0164;D
VD-009A;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.21;0.12; ;8.7;0.5;2.83;5.88;0.965;8.5;0.206;1.165;0.12;3.04;2.03;0.0164;D
VD-010;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.131;0.11;6.72;11.9;0.69;3.83;8.08;0.912;12.5;0.14;1.086;0.11;4.14;3.26;0.0226;D
VD-010A;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.229;0.12;7.98;12.6;0.69;3.83;8.78;0.968;12.5;0.14;1.184;0.11;4.14;2.94;0.0226;D
VD-011;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.18;0.11;15;17.8;0.98;5.33;12.48;0.935;18.5;0.095;1.136;0.11;5.79;4.54;0.032;D
VD-011A;EN 10270-3-1.4310;Closed;0.2;2;1.5;2.2;0.15;2.6;1.227;0.11;15.6;18.3;0.98;5.33;12.98;0.962;18.5;0.095;1.183;0.11;5.79;4.29;0.032;D
VD-011B;EN 10270-3-1.4310;Closed;0.2;1.8;1.3;2;0.15;2.4;0.854;0.16; ;2.8;0.21;1.56;1.24;0.657;3.5;0.686;0.802;0.15;1.63;1.01;0.0077;D
VD-011C;EN 10270-3-1.4310;Closed;0.2;1.8;1.3;2;0.15;2.4;1.028;0.14; ;4.4;0.29;2.04;2.36;0.709;5.5;0.436;0.973;0.14;2.17;1.39;0.0105;D
VD-011D;EN 10270-3-1.4310;Closed;0.2;1.8;1.3;2;0.15;2.4;1.136;0.13; ;6.8;0.44;2.78;4.02;0.741;8.5;0.282;1.084;0.13;2.96;1.96;0.0147;D
VD-011E;EN 10270-3-1.4310;Closed;0.2;1.8;1.3;2;0.15;2.4;1.2;0.13;4.43;10;0.56;3.75;6.25;0.76;12.5;0.192;1.147;0.12;4.03;2.72;0.0204;D
VD-011F;EN 10270-3-1.4310;Closed;0.2;1.8;1.3;2;0.15;2.4;1.243;0.12;12.01;14.8;0.79;5.22;9.58;0.773;18.5;0.13;1.19;0.12;5.63;3.85;0.0288;D
VD-011G;EN 10270-3-1.4310;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.526;0.19; ;3.1;0.17;1.54;1.56;0.743;3.5;0.977;1.455;0.19;1.61;0.49;0.0069;D
VD-011H;EN 10270-3-1.4310;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.482;0.17; ;4.4;0.23;2.02;2.38;0.709;5.5;0.621;1.417;0.17;2.12;0.81;0.0094;D
VD-011J;EN 10270-3-1.4310;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.474;0.15; ;6.4;0.33;2.73;3.67;0.694;8.5;0.402;1.407;0.15;2.9;1.26;0.0131;D
VD-011K;EN 10270-3-1.4310;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.507;0.15;4.71;9.2;0.45;3.69;5.51;0.696;12.5;0.273;1.438;0.15;3.94;1.8;0.0181;D
VD-011L;EN 10270-3-1.4310;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.51;0.14;10.86;13.3;0.64;5.13;8.17;0.692;18.5;0.185;1.443;0.14;5.49;2.64;0.0256;D
VD-011M;EN 10270-3-1.4310;Closed;0.2;1.2;0.8;1.4;0.08;1.7;1.834;0.3; ;2.3;0.12;1.51;0.79;0.514;3.5;2.315;1.713;0.3;1.56;0.29;0.0051;D
VD-011N;EN 10270-3-1.4310;Closed;0.2;1.2;0.8;1.4;0.08;1.7;1.813;0.27; ;3.2;0.15;1.97;1.23;0.491;5.5;1.473;1.694;0.27;2.05;0.46;0.007;D
VD-011O;EN 10270-3-1.4310;Closed;0.2;1.2;0.8;1.4;0.08;1.7;1.847;0.25; ;4.6;0.23;2.66;1.94;0.482;8.5;0.953;1.725;0.24;2.79;0.7;0.0098;D
VD-011P;EN 10270-3-1.4310;Closed;0.2;1.2;0.8;1.4;0.08;1.7;1.889;0.23;2.39;6.5;0.32;3.59;2.92;0.48;12.5;0.648;1.763;0.23;3.78;1;0.0136;D
VD-011Q;EN 10270-3-1.4310;Closed;0.2;1.2;0.8;1.4;0.08;1.7;1.896;0.23;7.29;9.3;0.45;4.97;4.33;0.476;18.5;0.438;1.774;0.22;5.25;1.46;0.0192;D
VD-011R;EN 10270-3-1.4310;Closed;0.2;1;0.6;1.2;0.07;1.4;2.015;0.43; ;2;0.1;1.5;0.5;0.429;3.5;4;1.84;0.43;1.54;0.21;0.0043;D
VD-011S;EN 10270-3-1.4310;Closed;0.2;1;0.6;1.2;0.07;1.4;1.906;0.38; ;2.7;0.14;1.95;0.75;0.4;5.5;2.545;1.705;0.38;2.03;0.35;0.0059;D
VD-011T;EN 10270-3-1.4310;Closed;0.2;1;0.6;1.2;0.07;1.4;2.086;0.35; ;3.9;0.19;2.63;1.27;0.4;8.5;1.647;1.894;0.35;2.75;0.49;0.0082;D
VD-011U;EN 10270-3-1.4310;Closed;0.2;1;0.6;1.2;0.07;1.4;2.191;0.33;2.28;5.5;0.27;3.54;1.96;0.4;12.5;1.12;1.994;0.33;3.72;0.68;0.0113;D
VD-011V;EN 10270-3-1.4310;Closed;0.2;1;0.6;1.2;0.07;1.4;2.188;0.32;6.14;7.8;0.38;4.91;2.89;0.395;18.5;0.757;1.998;0.32;5.16;1;0.016;D
VD-011W;EN 10270-3-1.4310;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.247;0.16; ;4.4;1.32;2.24;2.16;1.079;3.5;0.115;0.219;0.16;2.49;1.91;0.0295;D
VD-011X;EN 10270-3-1.4310;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.363;0.14; ;8;1.83;3.03;4.97;1.341;5.5;0.073;0.335;0.14;3.41;4.59;0.0402;D
VD-011Y;EN 10270-3-1.4310;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.51;0.13; ;15;2.21;4.2;10.8;1.691;8.5;0.047;0.481;0.13;4.8;10.2;0.0563;A
VD-011Z;EN 10270-3-1.4310;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.524;0.12; ;22.1;3.56;5.76;16.34;1.718;12.5;0.032;0.496;0.12;6.65;15.45;0.0778;D
VD-011Z-01;EN 10270-3-1.4310;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.457;0.12;19.91;29.2;5.04;8.11;21.09;1.545;18.5;0.022;0.429;0.12;9.42;19.78;0.11;D
VD-012;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.445;0.19; ;6.9;0.56;2.05;4.85;1.793;3.5;0.298;1.401;0.19;2.2;1.86;0.0215;D
VD-012A;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.504;0.19; ;7.1;0.56;2.05;5.05;1.85;3.5;0.298;1.46;0.19;2.2;1.76;0.0215;D
VD-013;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.493;0.17; ;10.6;0.77;2.73;7.87;1.814;5.5;0.19;1.449;0.17;2.96;2.76;0.0293;D
VD-013A;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.512;0.17; ;10.7;0.77;2.73;7.97;1.832;5.5;0.19;1.468;0.17;2.96;2.74;0.0293;D
VD-013B;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.517;0.16; ;16.1;1.08;3.73;12.37;1.821;8.5;0.123;1.473;0.16;4.1;4.22;0.041;D
VD-014;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.53;0.16; ;16.2;1.08;3.73;12.47;1.832;8.5;0.123;1.485;0.16;4.1;4.14;0.041;D
VD-015;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.47;0.15;16.62;22.7;1.5;5.08;17.62;1.766;12.5;0.083;1.425;0.15;5.62;6.55;0.0566;D
VD-015A;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.52;0.15;17.45;23.3;1.5;5.08;18.22;1.814;12.5;0.083;1.475;0.15;5.62;6.25;0.0566;D
VD-016;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.427;0.14;28.57;32.4;2.12;7.1;25.3;1.718;18.5;0.056;1.381;0.14;7.9;10.09;0.08;D
VD-016A;EN 10270-3-1.4310;Closed;0.25;3.2;2.5;3.45;0.2;4;1.522;0.14;30.49;34.1;2.12;7.1;27;1.809;18.5;0.056;1.477;0.14;7.9;9.26;0.08;D
VD-016B;EN 10270-3-1.4310;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.289;0.17; ;8;0.62;2.67;5.33;1.341;5.5;0.242;1.237;0.17;2.89;3.02;0.027;D
VD-016C;EN 10270-3-1.4310;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.416;0.16; ;12;0.83;3.49;8.51;1.422;8;0.166;1.365;0.16;3.8;4.02;0.036;D
VD-016D;EN 10270-3-1.4310;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.445;0.16; ;15;1;4.15;10.85;1.438;10;0.133;1.394;0.15;4.53;4.91;0.0432;D
VD-016E;EN 10270-3-1.4310;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.464;0.15;10.75;18;1.17;4.8;13.2;1.448;12;0.111;1.413;0.15;5.26;5.79;0.0503;D
VD-016F;EN 10270-3-1.4310;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.45;0.15;13.99;20;1.29;5.29;14.71;1.435;13.5;0.099;1.399;0.15;5.81;6.56;0.0557;D
VD-017;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.77;0.22; ;4.8;0.3;1.97;2.83;1.193;3.5;0.625;1.7;0.21;2.08;1.14;0.0168;D
VD-017A;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.832;0.22; ;4.9;0.3;1.97;2.93;1.221;3.5;0.625;1.763;0.21;2.08;1.09;0.0168;D
VD-018;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.872;0.19; ;7.3;0.41;2.59;4.71;1.214;5.5;0.398;1.802;0.19;2.77;1.66;0.0229;D
VD-019;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.896;0.18; ;10.9;0.85;3.53;7.37;1.209;8.5;0.257;1.827;0.18;3.8;2.53;0.032;D
VD-020;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.858;0.17;9.37;15.4;0.81;4.78;10.62;1.182;12.5;0.175;1.79;0.17;5.17;3.81;0.0442;D
VD-020A;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.911;0.17;9.89;15.7;0.81;4.78;10.92;1.206;12.5;0.175;1.843;0.17;5.17;3.67;0.0442;D
VD-021;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.909;0.16;19.41;22.8;1.14;6.66;16.14;1.199;18.5;0.118;1.841;0.16;7.23;5.45;0.0625;D
VD-021A;EN 10270-3-1.4310;Closed;0.25;2.5;1.9;2.75;0.15;3.1;1.921;0.16;19.52;22.9;1.14;6.66;16.24;1.204;18.5;0.118;1.853;0.16;7.23;5.4;0.0625;D
VD-021B;EN 10270-3-1.4310;Closed;0.25;2.25;1.6;2.5;0.15;2.9;1.559;0.21; ;5;0.31;2.4;2.6;0.875;5;0.6;1.476;0.21;2.54;1.62;0.0192;D
VD-021C;EN 10270-3-1.4310;Closed;0.25;2.25;1.6;2.5;0.15;2.9;1.756;0.2; ;8;0.45;3.32;4.68;0.922;8;0.375;1.673;0.19;3.54;2.33;0.0274;D
VD-021D;EN 10270-3-1.4310;Closed;0.25;2.25;1.6;2.5;0.15;2.9;1.822;0.19; ;10;0.54;3.93;6.07;0.938;10;0.3;1.737;0.19;4.21;2.81;0.0329;D
VD-021E;EN 10270-3-1.4310;Closed;0.25;2.25;1.6;2.5;0.15;2.9;1.874;0.18;5.54;12.5;0.57;4.69;7.81;0.95;12.5;0.24;1.791;0.18;5.04;3.4;0.0398;D
VD-021F;EN 10270-3-1.4310;Closed;0.25;2.25;1.6;2.5;0.15;2.9;1.92;0.18;11.74;16;0.81;5.76;10.24;0.961;16;0.188;1.838;0.18;6.2;4.21;0.0494;D
VD-022;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.049;0.27; ;3.6;0.2;1.92;1.68;0.85;3.5;1.221;1.941;0.27;2.01;0.75;0.0134;D
VD-022A;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.171;0.27; ;3.7;0.2;1.92;1.78;0.879;3.5;1.221;2.063;0.27;2.01;0.7;0.0134;D
VD-023;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.16;0.24; ;5.3;0.27;2.52;2.78;0.85;5.5;0.777;2.059;0.24;2.65;1.11;0.0183;D
VD-023A;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.315;0.25; ;5.5;0.27;2.52;2.98;0.886;5.5;0.777;2.214;0.24;2.65;1.01;0.0183;D
VD-024;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.203;0.23; ;7.8;0.38;3.42;4.38;0.844;8.5;0.503;2.101;0.22;3.62;1.67;0.0256;D
VD-024A;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.304;0.23; ;8;0.38;3.42;4.58;0.868;8.5;0.503;2.202;0.23;3.62;1.57;0.0256;D
VD-025;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.217;0.21;4.89;11.1;0.53;4.61;6.49;0.838;12.5;0.342;2.112;0.21;4.92;2.44;0.0354;D
VD-025A;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.32;0.22;5.66;11.4;0.53;4.61;6.79;0.862;12.5;0.342;2.215;0.21;4.92;2.29;0.0354;D
VD-026;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.262;0.21;13.04;16.2;0.75;6.41;9.79;0.842;18.5;0.231;2.157;0.21;6.86;3.52;0.05;D
VD-026A;EN 10270-3-1.4310;Closed;0.25;2;1.5;2.25;0.1;2.6;2.354;0.21;13.54;16.6;0.75;6.41;10.19;0.864;18.5;0.231;2.249;0.21;6.86;3.32;0.05;D
VD-026B;EN 10270-3-1.4310;Closed;0.25;1.75;1.2;2;0.1;2.4;2.366;0.34; ;3.2;0.16;1.9;1.3;0.736;3.5;1.822;2.223;0.33;1.98;0.55;0.0117;D
VD-026C;EN 10270-3-1.4310;Closed;0.25;1.75;1.2;2;0.1;2.4;2.796;0.3; ;4.9;0.22;2.49;2.41;0.777;5.5;1.16;2.655;0.3;2.61;0.68;0.016;D
VD-026D;EN 10270-3-1.4310;Closed;0.25;1.75;1.2;2;0.1;2.4;2.875;0.28; ;7.2;0.32;3.37;3.83;0.774;8.5;0.75;2.739;0.28;3.55;0.99;0.0224;D
VD-026E;EN 10270-3-1.4310;Closed;0.25;1.75;1.2;2;0.1;2.4;2.938;0.27;5.66;10.3;0.44;4.54;5.76;0.774;12.5;0.51;2.801;0.27;4.81;1.4;0.0309;D
VD-026F;EN 10270-3-1.4310;Closed;0.25;1.75;1.2;2;0.1;2.4;2.998;0.26;12.43;15;0.62;6.3;8.7;0.777;18.5;0.345;2.861;0.26;6.7;1.98;0.0437;D
VD-026G;EN 10270-3-1.4310;Closed;0.25;1.6;1;1.85;0.08;2.2;2.643;0.39; ;3;0.15;1.89;1.11;0.679;3.5;2.384;2.48;0.39;1.96;0.43;0.0107;D
VD-026H;EN 10270-3-1.4310;Closed;0.25;1.6;1;1.85;0.08;2.2;2.773;0.35; ;4.3;0.2;2.47;1.83;0.668;5.5;1.517;2.61;0.35;2.58;0.64;0.0146;D
VD-026J;EN 10270-3-1.4310;Closed;0.25;1.6;1;1.85;0.08;2.2;2.805;0.32; ;6.2;0.29;3.34;2.86;0.656;8.5;0.982;2.641;0.32;3.51;0.97;0.0205;D
VD-026K;EN 10270-3-1.4310;Closed;0.25;1.6;1;1.85;0.08;2.2;2.801;0.31;3.32;8.7;0.4;4.5;4.2;0.646;12.5;0.668;2.63;0.3;4.76;1.43;0.0283;D
VD-026L;EN 10270-3-1.4310;Closed;0.25;1.6;1;1.85;0.08;2.2;2.821;0.3;9.85;12.5;0.56;6.25;6.25;0.642;18.5;0.451;2.652;0.29;6.62;2.09;0.04;D
VD-026M;EN 10270-3-1.4310;Closed;0.25;1.2;0.7;1.45;0.08;1.8;3.008;0.69; ;2.4;0.11;1.87;0.53;0.507;3.5;5.651;2.656;0.69;1.93;0.26;0.008;D
VD-026N;EN 10270-3-1.4310;Closed;0.25;1.2;0.7;1.45;0.08;1.8;3.111;0.61; ;3.3;0.16;2.44;0.86;0.486;5.5;3.596;2.769;0.61;2.53;0.4;0.011;D
VD-026O;EN 10270-3-1.4310;Closed;0.25;1.2;0.7;1.45;0.08;1.8;3.291;0.56; ;4.7;0.22;3.29;1.41;0.479;8.5;2.327;2.955;0.56;3.43;0.58;0.0154;D
VD-026P;EN 10270-3-1.4310;Closed;0.25;1.2;0.7;1.45;0.08;1.8;3.449;0.53;2.74;6.6;0.3;4.42;2.18;0.478;12.5;1.582;3.117;0.52;4.63;0.8;0.0212;D
